frames,parents,incoming,override,round,candidate,ns_block
32,2,4,true,7,1,53.7118
32,2,4,true,7,0,379.88896666666665
32,4,1,false,0,0,159.2683
32,4,1,false,0,1,22.1942
32,4,1,false,1,1,21.710133333333335
32,4,1,false,1,0,141.3826
32,4,1,false,2,0,147.26583333333335
32,4,1,false,2,1,21.7662
32,4,1,false,3,1,21.692433333333334
32,4,1,false,3,0,139.17963333333333
32,4,1,false,4,0,142.6916
32,4,1,false,4,1,22.5197
32,4,1,false,5,1,22.1074
32,4,1,false,5,0,142.19983333333334
32,4,1,false,6,0,139.37156666666667
32,4,1,false,6,1,22.791766666666668
32,4,1,false,7,1,22.076033333333335
32,4,1,false,7,0,147.0622
32,4,1,true,0,0,165.67463333333333
32,4,1,true,0,1,21.885733333333334
32,4,1,true,1,1,22.3995
32,4,1,true,1,0,162.29856666666666
32,4,1,true,2,0,162.90413333333333
32,4,1,true,2,1,22.674566666666667
32,4,1,true,3,1,22.5494
32,4,1,true,3,0,171.75313333333332
32,4,1,true,4,0,172.57973333333334
32,4,1,true,4,1,22.8729
32,4,1,true,5,1,23.0091
32,4,1,true,5,0,164.68616666666668
32,4,1,true,6,0,202.42516666666666
32,4,1,true,6,1,25.854066666666668
32,4,1,true,7,1,30.381233333333334
32,4,1,true,7,0,185.42446666666666
32,4,4,false,0,0,576.7894666666666
32,4,4,false,0,1,76.1537
32,4,4,false,1,1,76.73126666666667
32,4,4,false,1,0,577.3252666666667
32,4,4,false,2,0,568.9409333333333
32,4,4,false,2,1,77.3078
32,4,4,false,3,1,72.84736666666667
32,4,4,false,3,0,568.7099333333333
32,4,4,false,4,0,567.0664333333333
32,4,4,false,4,1,75.77613333333333
32,4,4,false,5,1,74.07923333333333
32,4,4,false,5,0,712.834
32,4,4,false,6,0,561.5911666666667
32,4,4,false,6,1,71.9497
32,4,4,false,7,1,73.7471
32,4,4,false,7,0,611.4131
32,4,4,true,0,0,616.3088333333334
32,4,4,true,0,1,72.92316666666666
32,4,4,true,1,1,94.14923333333333
32,4,4,true,1,0,625.3945666666667
32,4,4,true,2,0,602.6195
32,4,4,true,2,1,81.3596
32,4,4,true,3,1,83.00206666666666
32,4,4,true,3,0,593.6666333333334
32,4,4,true,4,0,592.1994333333333
32,4,4,true,4,1,73.08806666666666
32,4,4,true,5,1,72.0502
32,4,4,true,5,0,595.1298333333333
32,4,4,true,6,0,590.16
32,4,4,true,6,1,74.0789
32,4,4,true,7,1,74.35866666666666
32,4,4,true,7,0,593.1198
32,8,1,false,0,0,289.8786333333333
32,8,1,false,0,1,29.631433333333334
32,8,1,false,1,1,30.256733333333333
32,8,1,false,1,0,293.8593
32,8,1,false,2,0,307.40113333333335
32,8,1,false,2,1,30.134533333333334
32,8,1,false,3,1,30.0544
32,8,1,false,3,0,291.8389
32,8,1,false,4,0,297.1129
32,8,1,false,4,1,29.566666666666666
32,8,1,false,5,1,28.7915
32,8,1,false,5,0,288.5362666666667
32,8,1,false,6,0,291.04106666666667
32,8,1,false,6,1,29.314966666666667
32,8,1,false,7,1,28.964433333333332
32,8,1,false,7,0,297.15296666666666
32,8,1,true,0,0,317.3000333333333
32,8,1,true,0,1,29.9933
32,8,1,true,1,1,30.232033333333334
32,8,1,true,1,0,327.4307
32,8,1,true,2,0,308.53313333333335
32,8,1,true,2,1,30.351166666666668
32,8,1,true,3,1,30.475033333333332
32,8,1,true,3,0,315.048
32,8,1,true,4,0,327.0458
32,8,1,true,4,1,30.1649
32,8,1,true,5,1,30.017366666666668
32,8,1,true,5,0,306.6443
32,8,1,true,6,0,312.63936666666666
32,8,1,true,6,1,38.4344
32,8,1,true,7,1,30.389266666666668
32,8,1,true,7,0,307.83276666666666
32,8,4,false,0,0,1169.7970666666668
32,8,4,false,0,1,121.51993333333333
32,8,4,false,1,1,108.5036
32,8,4,false,1,0,1417.6598666666666
32,8,4,false,2,0,1303.5955333333334
32,8,4,false,2,1,108.22383333333333
32,8,4,false,3,1,113.67773333333334
32,8,4,false,3,0,1256.1425666666667
32,8,4,false,4,0,1214.7486666666666
32,8,4,false,4,1,111.40366666666667
32,8,4,false,5,1,113.20136666666667
32,8,4,false,5,0,1220.8085
32,8,4,false,6,0,1236.3646666666666
32,8,4,false,6,1,108.3834
32,8,4,false,7,1,114.88323333333334
32,8,4,false,7,0,1230.7915666666668
32,8,4,true,0,0,1477.9012666666667
32,8,4,true,0,1,119.1507
32,8,4,true,1,1,110.44483333333334
32,8,4,true,1,0,1435.7632666666666
32,8,4,true,2,0,1343.9535666666666
32,8,4,true,2,1,109.68836666666667
32,8,4,true,3,1,107.30713333333334
32,8,4,true,3,0,1292.6413333333333
32,8,4,true,4,0,1364.3096
32,8,4,true,4,1,110.7323
32,8,4,true,5,1,113.61296666666667
32,8,4,true,5,0,1351.3627666666666
32,8,4,true,6,0,1311.3616
32,8,4,true,6,1,116.9627
32,8,4,true,7,1,114.22826666666667
32,8,4,true,7,0,1275.8433
32,16,1,false,0,0,730.2529666666667
32,16,1,false,0,1,55.84336666666667
32,16,1,false,1,1,45.667966666666665
32,16,1,false,1,0,716.0969
32,16,1,false,2,0,755.1092
32,16,1,false,2,1,47.2841
32,16,1,false,3,1,47.930733333333336
32,16,1,false,3,0,699.5769666666666
32,16,1,false,4,0,751.5241
32,16,1,false,4,1,47.0424
32,16,1,false,5,1,48.712266666666665
32,16,1,false,5,0,720.5860666666666
32,16,1,false,6,0,713.9610333333334
32,16,1,false,6,1,47.617266666666666
32,16,1,false,7,1,48.792033333333336
32,16,1,false,7,0,703.9886
32,16,1,true,0,0,728.6362
32,16,1,true,0,1,46.3567
32,16,1,true,1,1,45.38556666666667
32,16,1,true,1,0,745.2526333333333
32,16,1,true,2,0,796.3117666666667
32,16,1,true,2,1,49.53286666666666
32,16,1,true,3,1,47.792233333333336
32,16,1,true,3,0,738.1122
32,16,1,true,4,0,815.64
32,16,1,true,4,1,71.72203333333333
32,16,1,true,5,1,73.0233
32,16,1,true,5,0,782.8748333333333
32,16,1,true,6,0,751.236
32,16,1,true,6,1,47.82123333333333
32,16,1,true,7,1,49.846666666666664
32,16,1,true,7,0,747.1061
32,16,4,false,0,0,3017.2319666666667
32,16,4,false,0,1,190.55123333333333
32,16,4,false,1,1,182.28373333333334
32,16,4,false,1,0,2909.4861666666666
32,16,4,false,2,0,2864.4045
32,16,4,false,2,1,177.13833333333332
32,16,4,false,3,1,177.26083333333332
32,16,4,false,3,0,2884.0009
32,16,4,false,4,0,2862.5264666666667
32,16,4,false,4,1,178.78746666666666
32,16,4,false,5,1,177.01746666666668
32,16,4,false,5,0,2879.1122
32,16,4,false,6,0,2898.0361
32,16,4,false,6,1,179.98393333333334
32,16,4,false,7,1,184.2821
32,16,4,false,7,0,2895.7269666666666
32,16,4,true,0,0,2941.580233333333
32,16,4,true,0,1,175.4434
32,16,4,true,1,1,175.5419
32,16,4,true,1,0,2972.3711333333335
32,16,4,true,2,0,2909.8252666666667
32,16,4,true,2,1,183.59473333333332
32,16,4,true,3,1,177.51353333333333
32,16,4,true,3,0,2887.6678
32,16,4,true,4,0,2891.0495666666666
32,16,4,true,4,1,177.377
32,16,4,true,5,1,190.24443333333335
32,16,4,true,5,0,2886.8886
32,16,4,true,6,0,2946.6151666666665
32,16,4,true,6,1,177.9983
32,16,4,true,7,1,177.49353333333335
32,16,4,true,7,0,2931.1104
128,0,1,false,0,0,145.69916666666666
128,0,1,false,0,1,19.155966666666668
128,0,1,false,1,1,18.2172
128,0,1,false,1,0,145.94953333333333
128,0,1,false,2,0,159.39583333333334
128,0,1,false,2,1,18.576066666666666
128,0,1,false,3,1,18.292
128,0,1,false,3,0,152.43133333333333
128,0,1,false,4,0,148.97943333333333
