carrier,modulator,depth,nested,convergence,baseline,local,central,adaa,adaa_gain_db,adaa_wanted_error_db,adaa_outside_reference_support_db
193.0,1501.0,0.5,0.5,-44.902710019783754,1.9469370042685585,-1.4323759210344371,-0.44335371394718265,-0.15549995559753138,-4.74486736749145,-0.155500721045284,-67.69418792611766
193.0,1501.0,1.0,1.25,-37.78264312322364,6.005359822407827,1.9284682568739944,2.6213083021212924,3.4643992736867584,-7.5929981842148555,3.4638601114372563,-35.5965186514962
193.0,1501.0,0.15,-0.8,-53.59458584901624,-6.809167783439162,-5.4656110477768385,-8.395811550886958,-5.876286476325485,-1.4966582296692579,-5.877390403076958,-41.82527896366507
853.0,23.0,0.0,0.0,-54.064803447489524,-7.573273213884542,-7.573273213884542,-7.573273213884542,-13.829383882555478,-0.9950635496905342,-17.54013144963479,-16.23667375113067
853.0,23.0,0.02,0.0,-54.089622800312426,-7.573264461969885,-7.573240680714447,-7.573240687139041,-13.828941063123551,-0.9948181346893091,-17.5417886063629,-16.23467609115869
853.0,23.0,0.15,0.0,-54.16907992707762,-7.573308817389082,-7.571976387106332,-7.57197676683856,-13.832249592868584,-0.9988452596508813,-17.506046539616914,-16.267113652789295
853.0,23.0,0.5,0.0,-54.18958956041685,-7.5732848252782725,-7.55840172697545,-7.558406496930942,-13.75371014592015,-0.9998294847228446,-17.451571009949667,-16.17057016936038
853.0,23.0,0.15,0.5,-53.89285310329362,-6.549351364097733,-6.740200651796515,-7.608106684749,-11.318645546260209,-0.8880659542867392,-11.330314925766377,-37.0318444025839
853.0,23.0,0.5,0.5,-49.47568945314795,-3.788522452949283,-3.39709203428953,-6.041719844058154,-4.805006744137786,-2.041504698042646,-4.807386760996079,-37.41823947831862
853.0,23.0,1.0,1.25,-37.69555026340488,2.740829347631193,0.5503532998953125,2.160988745255645,2.1709364725396214,-10.686749072027517,2.170341150977044,-36.45968816779776
